BEN_REG,sexe,age,GEN_NUM,CIP13,total_boites
5,1,20,814,3400938014853,115
5,1,20,815,3400939510491,15
5,1,60,814,3400938632040,181
5,1,60,815,3400921867992,7328
5,1,60,815,3400922161648,11144
5,2,20,814,3400922164199,299
5,2,20,815,3400922161709,1364
5,2,60,814,3400921866643,10420
5,2,60,814,3400921867244,2424
5,2,60,814,3400938621914,2045
5,2,60,814,3400939507361,90
5,2,60,815,3400938014914,2103
5,2,60,815,3400938679007,1648
11,1,20,814,3400922164199,6470
11,1,20,815,3400922161709,1098
11,1,20,815,3400922165141,3144
11,1,60,814,3400921866643,25915
11,1,60,814,3400921867244,21874
11,1,60,814,3400938621914,1691
11,1,60,814,3400939507361,16976
11,1,60,815,3400949626298,284
11,2,20,815,3400939511092,2695
11,2,20,815,3400939914169,156
11,2,60,814,3400922162997,17809
11,2,60,814,3400939507941,17355
11,2,60,814,3400939914749,448
11,2,60,815,3400922164489,10424
11,2,60,815,3400927384486,44
11,2,60,815,3400938015164,4692
11,2,60,815,3400938681185,1033
11,2,60,815,3400939279442,104
11,2,60,815,3400939914459,220
24,1,20,814,3400922161587,348
24,1,20,814,3400938014792,157
24,1,20,814,3400939914749,25
24,1,20,815,3400938015164,107
24,1,20,815,3400939279442,31
24,1,60,815,3400921868654,3367
24,1,60,815,3400922165141,1656
24,1,60,815,3400938014914,820
24,1,60,815,3400939511092,2475
24,1,60,815,3400939914169,68
24,2,20,814,3400949625178,166
24,2,20,815,3400922161648,95
24,2,20,815,3400939279961,24
24,2,60,814,3400927384196,24
24,2,60,814,3400927384257,39
24,2,60,814,3400938014853,1740
24,2,60,814,3400939909608,99
24,2,60,815,3400949626298,286
27,1,20,814,3400938632040,624
27,1,20,814,3400949625178,75
27,1,20,815,3400921867992,1074
27,1,60,814,3400939909608,88
27,1,60,815,3400939511092,2250
27,1,60,815,3400939914169,70
27,2,20,814,3400921866643,1921
27,2,20,814,3400938621914,519
27,2,20,814,3400939278551,59
27,2,20,815,3400921868654,728
27,2,20,815,3400938014914,105
